model,split,label,accuracy,sensitivity,specificity,f1,auc,auprc,tp,fp,tn,fn
logistic_regression,test,label_kidney_next,71.79,60.48,80.56,65.18,77.28,74.99,658,273,1131,430
logistic_regression,test,label_stroke_next,93.1,5.44,98.59,8.51,65.46,13.37,8,33,2312,139
logistic_regression,test,macro_avg,88.34,69.62,92.15,71.86,86.69,75.85,4248,801,11161,1234
decision_tree,train_inner,label_lipid_disorder,99.98,99.91,100.0,99.96,100.0,100.0,2321,0,6146,2
decision_tree,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2942,0,5527,0
decision_tree,train_inner,label_hypertension_current,100.0,100.0,100.0,100.0,100.0,100.0,4758,0,3711,0
decision_tree,train_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,489,0,7980,0
decision_tree,train_inner,label_cardio_next,99.98,99.95,100.0,99.98,100.0,100.0,4389,0,4078,2
decision_tree,train_inner,label_kidney_next,99.98,99.95,100.0,99.97,100.0,100.0,3687,0,4780,2
decision_tree,train_inner,label_stroke_next,100.0,100.0,100.0,100.0,100.0,100.0,472,0,7997,0
decision_tree,train_inner,macro_avg,99.99,99.97,100.0,99.99,100.0,100.0,19058,0,40219,6
decision_tree,val_inner,label_lipid_disorder,72.71,46.59,82.58,48.35,64.44,38.17,191,189,896,219
decision_tree,val_inner,label_diabetes_current,99.8,99.59,99.9,99.69,99.74,99.51,480,1,1012,2
decision_tree,val_inner,label_hypertension_current,99.8,99.88,99.7,99.82,99.79,99.71,835,2,657,1
decision_tree,val_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,77,0,1418,0
decision_tree,val_inner,label_cardio_next,74.72,75.79,73.6,75.39,74.64,69.3,579,193,538,185
decision_tree,val_inner,label_kidney_next,67.49,59.28,73.21,59.97,66.05,52.72,364,236,645,250
decision_tree,val_inner,label_stroke_next,89.23,13.73,94.76,14.81,54.24,8.09,14,73,1320,88
decision_tree,val_inner,macro_avg,86.25,70.69,89.11,71.15,79.84,66.79,2540,694,6486,745
decision_tree,test,label_lipid_disorder,72.83,51.39,80.93,50.91,65.96,39.24,351,345,1464,332
decision_tree,test,label_diabetes_current,99.92,100.0,99.88,99.88,99.94,99.76,825,2,1665,0
decision_tree,test,label_hypertension_current,99.72,99.85,99.56,99.74,99.71,99.56,1352,5,1133,2
decision_tree,test,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,139,0,2353,0
decision_tree,test,label_cardio_next,74.28,74.16,74.4,74.25,74.18,68.07,924,319,927,322
decision_tree,test,label_kidney_next,66.25,59.01,71.87,60.42,65.31,54.49,642,395,1009,446
decision_tree,test,label_stroke_next,90.33,9.52,95.39,10.41,52.46,6.43,14,108,2237,133
decision_tree,test,macro_avg,86.19,70.56,88.86,70.8,79.65,66.79,4247,1174,10788,1235
random_forest,train_inner,label_lipid_disorder,99.96,99.87,100.0,99.94,100.0,100.0,2320,0,6146,3
random_forest,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2942,0,5527,0
random_forest,train_inner,label_hypertension_current,100.0,100.0,100.0,100.0,100.0,100.0,4758,0,3711,0
random_forest,train_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,489,0,7980,0
random_forest,train_inner,label_cardio_next,99.98,99.95,100.0,99.98,100.0,100.0,4389,0,4078,2
random_forest,train_inner,label_kidney_next,99.98,99.95,100.0,99.97,100.0,100.0,3687,0,4780,2
random_forest,train_inner,label_stroke_next,99.99,99.79,100.0,99.89,100.0,100.0,471,0,7997,1
random_forest,train_inner,macro_avg,99.99,99.94,100.0,99.97,100.0,100.0,19056,0,40219,8
random_forest,val_inner,label_lipid_disorder,75.18,20.24,95.94,30.91,80.36,57.67,83,44,1041,327
random_forest,val_inner,label_diabetes_current,94.98,87.55,98.52,91.84,99.28,98.25,422,15,998,60
random_forest,val_inner,label_hypertension_current,91.44,98.8,82.09,92.81,98.12,98.26,826,118,541,10
random_forest,val_inner,label_obesity_current,95.12,5.19,100.0,9.88,100.0,100.0,4,0,1418,73
random_forest,val_inner,label_cardio_next,81.81,83.9,79.62,82.5,89.09,88.47,641,149,582,123
random_forest,val_inner,label_kidney_next,74.31,57.49,86.04,64.77,79.73,75.84,353,123,758,261
random_forest,val_inner,label_stroke_next,93.04,0.0,99.86,0.0,72.04,16.13,0,2,1391,102
random_forest,val_inner,macro_avg,86.55,50.45,91.72,53.24,88.37,76.37,2329,451,6729,956
random_forest,test,label_lipid_disorder,76.48,23.72,96.41,35.6,82.32,59.36,162,65,1744,521
random_forest,test,label_diabetes_current,95.22,88.0,98.8,92.43,99.38,98.58,726,20,1647,99
random_forest,test,label_hypertension_current,91.93,98.67,83.92,93.0,98.39,98.5,1336,183,955,18
random_forest,test,label_obesity_current,94.94,9.35,100.0,17.11,100.0,99.9,13,0,2353,126
random_forest,test,label_cardio_next,80.98,81.7,80.26,81.12,88.67,87.84,1018,246,1000,228
random_forest,test,label_kidney_next,74.28,56.8,87.82,65.85,80.83,78.43,618,171,1233,470
random_forest,test,label_stroke_next,94.06,0.0,99.96,0.0,63.41,11.81,0,1,2344,147
random_forest,test,macro_avg,86.84,51.18,92.45,55.02,87.57,76.35,3873,686,11276,1609
